raceId,driverId,constructorId,grid,laps,top3
39,16,12,20,63,0
39,27,12,21,63,0
39,2,2,7,46,0
39,23,7,17,44,0
39,24,5,16,19,0
39,26,5,22,9,0
39,8,6,3,9,0
39,15,7,6,8,0
39,17,9,19,7,0
39,25,3,18,1,0
40,4,1,1,78,1
40,1,1,2,78,1
40,13,6,3,78,1
40,21,4,4,77,0
40,9,2,8,77,0
40,2,2,7,77,0
40,25,3,11,77,0
40,8,6,16,77,0
40,26,5,18,77,0
40,22,11,9,77,0
40,18,11,10,77,0
40,3,3,5,77,0
40,5,4,15,76,0
40,14,9,13,76,0
40,15,7,14,76,0
40,23,7,20,76,0
40,11,8,21,76,0
40,19,8,17,76,0
40,27,12,22,70,0
40,16,12,19,53,0
40,17,9,6,17,0
40,24,5,12,2,0
41,1,1,1,70,1
41,2,2,3,70,1
41,25,3,19,70,1
41,5,4,22,70,0
41,8,6,4,70,0
41,11,8,11,70,0
41,4,1,2,70,0
41,23,7,18,70,0
41,17,9,6,70,0
41,3,3,7,70,0
41,19,8,17,70,0
41,22,11,13,70,0
41,15,7,10,58,0
41,24,5,12,54,0
41,27,12,21,47,0
41,14,9,14,36,0
41,9,2,8,26,0
41,16,12,20,21,0
41,26,5,16,8,0
41,18,11,15,0,0
41,13,6,5,51,0
41,21,4,9,51,0
42,1,1,1,73,1
42,4,1,2,73,1
42,13,6,3,73,1
42,8,6,4,73,0
42,5,4,6,73,0
42,15,7,8,73,0
42,17,9,9,73,0
42,20,2,7,73,0
42,21,4,10,72,0
42,25,3,17,72,0
42,19,8,16,72,0
42,18,11,13,72,0
42,26,5,20,71,0
42,16,12,21,71,0
42,27,12,22,70,0
42,3,3,14,68,0
42,24,5,19,68,0
42,2,2,5,56,0
42,11,8,18,13,0
42,14,9,11,0,0
42,22,11,15,0,0
42,23,7,12,0,0
43,8,6,3,70,1
43,13,6,1,70,1
43,1,1,2,70,1
43,9,2,4,70,0
43,2,2,7,70,0
43,21,4,5,70,0
43,4,1,10,70,0
43,18,11,12,70,0
43,3,3,9,70,0
43,23,7,11,69,0
43,22,11,13,69,0
43,17,9,14,69,0
43,14,9,16,69,0
43,25,3,18,69,0
43,5,4,6,69,0
43,11,8,22,68,0
43,16,12,21,68,0
43,26,5,15,55,0
43,27,12,20,28,0
43,19,8,19,1,0
43,15,7,8,1,0
43,24,5,17,0,0
44,8,6,2,59,1
44,4,1,3,59,1
44,1,1,1,59,1
44,9,2,5,59,0
44,13,6,4,59,0
44,2,2,9,59,0
44,5,4,7,58,0
44,21,4,8,58,0
44,22,11,14,58,0
44,18,11,18,58,0
44,14,9,12,58,0
44,3,3,17,58,0
44,25,3,13,58,0
44,11,8,21,57,0
44,27,12,22,57,0
44,24,5,16,53,0
44,15,7,10,43,0
44,19,8,19,35,0
44,26,5,15,29,0
44,23,7,6,22,0
44,16,12,20,16,0
44,17,9,11,8,0
45,4,1,2,60,1
45,13,6,3,60,1
45,17,9,6,60,1
45,25,3,12,60,0
45,14,9,20,60,0
45,2,2,4,60,0
45,9,2,5,60,0
45,5,4,7,59,0
45,1,1,10,59,0
45,21,4,13,59,0
45,22,11,14,59,0
45,19,8,15,59,0
45,15,7,8,59,0
45,8,6,1,34,0
45,11,8,16,19,0
45,23,7,9,18,0
45,28,12,22,13,0
45,18,11,17,2,0
45,16,12,21,2,0
45,3,3,11,2,0
45,26,5,18,2,0
45,24,5,19,2,0
46,1,1,1,70,1
46,8,6,3,70,1
46,2,2,2,70,1
46,4,1,6,70,0
46,9,2,7,70,0
46,23,7,5,70,0
46,3,3,4,70,0
46,5,4,11,70,0
46,17,9,9,70,0
46,15,7,8,69,0
46,14,9,10,69,0
46,21,4,13,69,0
46,13,6,14,69,0
46,25,3,12,69,0
46,11,8,19,69,0
46,20,5,20,69,0
46,16,12,21,68,0
46,22,11,18,68,0
46,24,5,16,42,0
46,19,8,15,41,0
46,18,11,17,35,0
46,29,12,22,4,0
47,13,6,1,58,1
47,8,6,3,58,1
47,4,1,4,58,1
47,2,2,6,58,0
47,1,1,2,58,0
47,5,4,7,58,0
47,3,3,8,58,0
