team1,team2,venue,toss_winner,toss_decision,winner
3,10,45,3,1,10
6,13,14,13,1,6
8,12,55,8,1,12
12,6,30,6,1,6
13,3,23,3,1,3
6,2,14,6,1,6
10,14,38,10,1,14
12,13,30,13,1,12
3,8,45,3,0,8
10,2,38,10,1,10
14,6,42,6,1,14
8,13,55,13,0,8
12,3,30,12,1,12
2,14,16,2,1,2
6,12,14,12,1,12
2,3,16,2,1,2
13,10,23,13,1,10
14,12,42,14,1,12
2,8,16,2,1,8
13,6,23,6,1,6
10,3,38,3,1,3
14,8,42,8,0,14
10,6,38,6,1,10
3,2,17,2,1,2
8,10,55,8,1,10
2,12,16,2,0,2
3,14,17,14,1,14
6,8,14,6,1,8
12,10,30,12,1,12
2,13,16,13,0,13
8,12,55,8,1,12
14,6,23,6,1,6
8,6,23,8,1,8
8,12,42,8,0,8
8,0,55,0,1,0
2,10,37,10,1,10
13,6,14,6,1,6
11,14,41,14,1,14
6,0,26,0,1,0
11,2,46,2,1,11
8,14,41,14,1,14
10,13,25,13,1,13
8,2,55,2,1,2
6,14,14,14,1,14
11,13,25,13,1,11
10,0,37,0,1,10
6,2,14,2,1,6
8,13,55,13,1,8
11,6,46,6,1,6
10,14,37,10,0,10
0,11,30,11,1,0
6,10,14,10,1,10
2,13,25,13,1,13
0,14,41,14,1,0
8,11,46,8,0,11
10,2,0,2,1,10
14,8,55,8,1,14
13,0,25,0,1,0
14,10,41,10,1,14
2,6,0,6,1,2
0,8,30,8,1,8
14,11,46,14,0,14
13,6,25,6,1,6
0,2,30,2,1,0
13,8,25,8,1,13
2,11,0,11,1,2
0,6,14,6,1,6
10,8,20,8,1,8
13,0,30,0,1,0
2,14,41,2,0,14
8,6,55,6,1,8
11,10,20,10,1,10
14,13,41,13,1,14
11,10,46,11,0,11
8,6,14,6,1,8
2,14,0,2,0,14
0,11,46,0,0,11
6,10,20,10,1,6
2,13,0,13,1,13
14,0,30,0,1,0
8,11,55,11,1,11
10,13,20,13,1,13
11,6,14,6,1,6
8,10,55,10,1,8
13,14,25,14,1,13
2,0,0,0,1,2
11,13,46,11,0,11
14,6,41,14,0,6
2,8,0,2,0,2
10,0,30,0,1,0
14,0,55,0,1,0
6,11,14,11,1,6
14,6,14,6,1,14
14,0,55,0,1,0
13,0,26,0,1,0
14,6,14,6,1,6
2,8,55,8,1,2
10,11,46,11,1,10
2,0,0,2,0,0
6,10,14,10,1,6
8,13,25,13,1,8
11,14,41,11,0,14
8,10,37,10,1,10
6,2,0,2,1,2
14,13,41,13,1,14
0,11,26,11,1,0
10,2,37,2,1,10
13,11,46,11,1,11
8,0,55,0,1,8
2,14,0,14,1,14
13,6,25,6,1,6
0,10,26,0,0,0
8,14,41,14,1,8
13,2,25,2,1,2
11,6,46,6,1,6
14,10,37,10,1,10
6,0,26,0,1,0
10,8,55,8,1,8
11,0,46,0,1,0
6,2,14,2,1,2
8,11,55,11,1,11
10,13,37,13,1,13
6,0,14,0,1,0
2,14,41,14,1,2
13,8,55,8,1,8
10,11,37,11,1,10
0,14,41,0,0,14
8,2,0,8,0,8
13,6,14,6,1,13
8,11,46,11,1,11
10,2,0,2,1,2
6,14,41,14,1,14
13,0,25,0,1,13
11,2,46,2,1,2
14,0,26,0,1,0
13,10,25,10,1,13
6,11,14,11,1,11
8,0,26,0,1,8
14,11,46,11,1,11
2,13,0,2,0,2
6,8,14,8,1,6
14,10,41,10,1,14
0,2,26,2,1,0
8,14,55,8,0,8
10,6,37,6,1,6
11,2,0,11,0,2
